,payloads,length,nonprintable_keywords,special_chars,punctuation_chars,js_events,html_tags,sql_keywords,percentage_count,spaces_count,is_malicious
18017,Lathi - Weird Genius - ft. Sara Fajira,38,0,3,3,0,0,0,0,7,0
18018,Dynamite - BTS,14,0,1,1,0,0,0,0,2,0
18019,Psycho - Red Velvet,19,0,1,1,0,0,1,0,3,0
18020,Cuek - Rizky Febian,19,0,1,1,0,0,0,0,3,0
18021,Menghapus Jejakmu - Bunga Citra Lestari ft Ariel Noah,53,0,1,1,0,0,2,0,8,0
18022,Virus Corona,12,0,0,0,0,0,0,0,1,0
18023,PSBB,4,0,0,0,0,0,0,0,0,0
18024,Kartu Pra Kerja,15,0,0,0,0,0,0,0,2,0
18025,Sepeda Lipat,12,0,0,0,0,0,0,0,1,0
18026,Odading,7,0,0,0,0,0,0,0,0,0
18027,Donat,5,0,0,0,0,0,0,0,0,0
18028,Dalgona Coffee,14,0,0,0,0,0,0,0,1,0
18029,Odading,7,0,0,0,0,0,0,0,0,0
18030,Bakso Mercon,12,0,0,0,0,0,0,0,1,0
18031,Rendang Sapi,12,0,0,0,0,0,0,0,1,0
18032,Bintang Emon,12,0,0,0,0,0,0,0,1,0
18033,Hyun Bin,8,0,0,0,0,0,3,0,1,0
18034,Kim Soo Hyun,12,0,0,0,0,0,0,0,2,0
18035,Najwa Shihab,12,0,0,0,0,0,0,0,1,0
18036,George Floyd,12,0,0,0,0,0,0,0,1,0
18037,How to make a face mask,23,0,0,0,0,0,189,0,5,0
18038,How to make hand sanitizer,26,0,0,0,0,0,11,0,4,0
18039,How to register to vote,23,0,0,0,0,0,19,0,4,0
18040,How to cut men's hair,21,0,1,1,0,0,11,0,4,0
18041,How to make scones,18,0,0,0,0,0,10,0,3,0
18042,US election,11,0,0,0,0,0,10,0,1,0
18043,Coronavirus,11,0,0,0,0,0,0,0,0,0
18044,Caroline Flack,14,0,0,0,0,0,0,0,1,0
18045,Premier League,14,0,0,0,0,0,0,0,1,0
18046,CNN,3,0,0,0,0,0,0,0,0,0
18047,Joe Biden,9,0,0,0,0,0,0,0,1,0
18048,Boris Johnson,13,0,0,0,0,0,0,0,1,0
18049,Kim Jong Un,11,0,0,0,0,0,13,0,2,0
18050,Phillip Schofield,17,0,0,0,0,0,0,0,1,0
18051,Donald Trump,12,0,0,0,0,0,0,0,1,0
18052,1917,4,0,0,0,0,0,0,0,0,0
18053,Parasite,8,0,0,0,0,0,0,0,0,0
18054,Little Women,12,0,0,0,0,0,0,0,1,0
18055,Jojo Rabbit,11,0,0,0,0,0,0,0,1,0
18056,Tenet,5,0,0,0,0,0,0,0,0,0
18057,Brown bread recipe,18,0,0,0,0,0,0,0,2,0
18058,Scones recipe,13,0,0,0,0,0,0,0,1,0
18059,Pizza dough recipe,18,0,0,0,0,0,0,0,2,0
18060,Apple tart recipe,17,0,0,0,0,0,1,0,2,0
18061,Soda bread recipe,17,0,0,0,0,0,0,0,2,0
18062,Normal People,13,0,0,0,0,0,0,0,1,0
18063,Love Island,11,0,0,0,0,0,0,0,1,0
18064,The Queen's Gambit,18,0,1,1,0,0,2,0,2,0
18065,The Fall,8,0,0,0,0,0,2,0,1,0
18066,Operation Transformation,24,0,0,0,0,0,0,0,1,0
18067,WAP,3,0,0,0,0,0,0,0,0,0
18068,N12,3,0,0,0,0,0,0,0,0,0
18069,Wpad,4,0,0,0,0,0,0,0,0,0
18070,Zoom,4,0,0,0,0,0,0,0,0,0
18071,Coronavirus,11,0,0,0,0,0,0,0,0,0
18072,Elezioni USA,12,0,0,0,0,0,2,0,1,0
18073,Classroom,9,0,0,0,0,0,0,0,0,0
18074,Weschool,8,0,0,0,0,0,0,0,0,0
18075,Nuovo Dpcm,10,0,0,0,0,0,0,0,1,0
18076,Alex Zanardi,12,0,0,0,0,0,0,0,1,0
18077,Silvia Romano,13,0,0,0,0,0,0,0,1,0
18078,Donald Trump,12,0,0,0,0,0,0,0,1,0
18079,Joe Biden,9,0,0,0,0,0,0,0,1,0
18080,Giuseppe Conte,14,0,0,0,0,0,0,0,1,0
18081,Diego Armando Maradona,22,0,0,0,0,0,0,0,2,0
18082,Kobe Bryant,11,0,0,0,0,0,0,0,1,0
18083,Gigi Proietti,13,0,0,0,0,0,0,0,1,0
18084,Ezio Bosso,10,0,0,0,0,0,0,0,1,0
18085,Ennio Morricone,15,0,0,0,0,0,0,0,1,0
18086,Pomodori,8,0,0,0,0,0,0,0,0,0
18087,Fragole,7,0,0,0,0,0,0,0,0,0
18088,Patate,6,0,0,0,0,0,0,0,0,0
18089,Zucchine,8,0,0,0,0,0,0,0,0,0
18090,Melanzane,9,0,0,0,0,0,0,0,0,0
18091,Pane in casa,12,0,0,0,0,0,77,0,2,0
18092,Mascherine antivirus,20,0,0,0,0,0,0,0,1,0
18093,Lievito di birra,16,0,0,0,0,0,16,0,2,0
18094,Pizza,5,0,0,0,0,0,0,0,0,0
18095,Amuchina,8,0,0,0,0,0,0,0,0,0
18096,Pandemia,8,0,0,0,0,0,0,0,0,0
18097,MES,3,0,0,0,0,0,6,0,0,0
18098,Dpcm,4,0,0,0,0,0,0,0,0,0
18099,Congiunti,9,0,0,0,0,0,0,0,0,0
18100,Urbi et Orbi,12,0,0,0,0,0,16,0,2,0
18101,Campionato Serie A,18,0,0,0,0,0,179,0,2,0
18102,Elezioni USA,12,0,0,0,0,0,2,0,1,0
18103,Festival di Sanremo,19,0,0,0,0,0,16,0,2,0
18104,Champions League,16,0,0,0,0,0,0,0,1,0
18105,Europa League,13,0,0,0,0,0,0,0,1,0
18106,Pollaio,7,0,0,0,0,0,0,0,0,0
18107,Barbecue,8,0,0,0,0,0,0,0,0,0
18108,Zanzariere,10,0,0,0,0,0,0,0,0,0
18109,Incubatrice,11,0,0,0,0,0,0,0,0,0
18110,Compostiera,11,0,0,0,0,0,0,0,0,0
18111,Amuchina,8,0,0,0,0,0,0,0,0,0
18112,Maschera capelli,16,0,0,0,0,0,0,0,1,0
18113,Scrub,5,0,0,0,0,0,0,0,0,0
18114,Tinta capelli,13,0,0,0,0,0,0,0,1,0
18115,Ceretta,7,0,0,0,0,0,0,0,0,0
18116,Pizza,5,0,0,0,0,0,0,0,0,0
18117,Pane,4,0,0,0,0,0,0,0,0,0
18118,Cornetti,8,0,0,0,0,0,0,0,0,0
18119,Lievito madre,13,0,0,0,0,0,0,0,1,0
18120,Gnocchi di patate,17,0,0,0,0,0,16,0,2,0
18121,Panifici,8,0,0,0,0,0,0,0,0,0
18122,Benzinaio,9,0,0,0,0,0,0,0,0,0
18123,Fioraio,7,0,0,0,0,0,0,0,0,0
